ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
AVGO
AMD
MU
ARM
ASML
TSM
INTC
QCOM
MRVL
AMAT
LRCX
KLAC
SMCI
DELL
HPE
ANET
CSCO
ORCL
CRM
NOW
ADBE
SNOW
PLTR
CRWD
NET
DDOG
MDB
PANW
ZS
SOUN
PATH
AI
FSLY
BILL
FLNC
CEVA
AOSL
VECO
GEV
VRT
ETN
PWR
CEG
OKLO
SMR
NEE
SO
QQQ
