strategy,months,total_return_1m_rebalanced,annualized_return_1m_rebalanced,avg_monthly_return_1m,monthly_win_rate_1m,max_drawdown_1m_rebalanced,avg_future_max_return_1_3m,avg_boom_hit_rate
baseline_core_mom_456_avg,18,2.072501082804955,1.1134632301247072,0.08562379728867069,0.6666666666666666,-0.2610466399845113,0.3997927990593438,0.3333333333333333
baseline_mom_5m,18,1.709482626782247,0.9435285010842482,0.07892580527836808,0.6666666666666666,-0.2510436487402534,0.3444699497051829,0.31481481481481477
baseline_mom_4m,18,1.659810326832241,0.9197018285816569,0.07555426828438222,0.6111111111111112,-0.2610466399845113,0.3399611528310786,0.31481481481481477
baseline_mom_6m_acceleration,18,1.3989875123619782,0.7920577112899314,0.06041086408968267,0.7222222222222222,-0.2737389111348185,0.34031841518013606,0.2777777777777778
baseline_mom_6m,18,1.216620531156292,0.7000468936480422,0.06692936410814539,0.6666666666666666,-0.33703176889154385,0.3634683528833216,0.2962962962962963
xgb_boom_probability,18,0.8383451515912961,0.5006682794655222,0.05139942124169128,0.6111111111111112,-0.2642355119239248,0.3305495325109816,0.2222222222222222
baseline_mom_3m,18,0.5330877499292925,0.32957041338861415,0.042712858014240566,0.6666666666666666,-0.33703176889154385,0.3541958730732575,0.2962962962962963
