month,ticker,boom_probability,mom_1m,mom_2m,mom_3m,mom_4m,mom_5m,mom_6m,mom_7m,mom_9m,mom_12m,core_mom_456_avg,core_mom_456_min,core_mom_456_max,core_mom_456_std,core_mom_456_positive_count,core_mom_456_all_positive,mom_4m_vs_6m,mom_5m_vs_6m,mom_6m_first3m,mom_6m_last3m,mom_6m_acceleration,mom_3m_vs_6m,price_ma5_ratio,price_ma10_ratio,price_ma20_ratio,price_ma30_ratio,ma5_above_ma10,ma10_above_ma20,ma20_above_ma30,ma_trend_score,ma5_slope_1m,ma10_slope_1m,ma20_slope_1m,ma30_slope_1m,ma_slope_score,drawdown_3m,drawdown_6m,drawdown_12m,drawdown_3m_abs,drawdown_6m_abs,drawdown_12m_abs,near_3m_high,near_6m_high,deep_3m_drawdown,deep_6m_drawdown,volatility_3m,volatility_6m,return_vol_ratio_3m,return_vol_ratio_6m,volume_change_1m,volume_change_3m,volume_ratio_3m,qqq_mom_1m,qqq_mom_3m,qqq_mom_6m,qqq_mom_12m,qqq_trend_score
2026-08-31,DELL,0.9326929,0.2107704158436951,0.1394359817884218,0.167995642582859,1.352816689386033,2.0045828548433837,2.3302415362105533,3.309176631538926,2.714282547017844,3.0692952554211246,1.8958803601466565,1.352816689386033,2.3302415362105533,0.4976967018802246,3.0,1.0,-0.9774248468245204,-0.32565868136717,1.851244829001408,0.167995642582859,-1.6832491864185488,-2.162245893627694,0.036045533519327,0.0625708993682414,0.1254593263868344,0.1373400947547334,1.0,1.0,1.0,3.0,0.1172041725053665,0.0939743375663888,0.0377083342554251,0.045022482504694,4.0,-0.0074821785888316,-0.0074821785888316,-0.0074821785888316,0.0074821785888316,0.0074821785888316,0.0074821785888316,1.0,1.0,0.0,0.0,1.0302696134753122,0.8842191213205107,0.1630598829525555,2.635366596382267,-0.1781660108366468,-0.904642268065881,-0.2400170193309116,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,CRWD,0.9296563,0.1366970358087464,0.1371438676200802,0.1871408861736918,0.9468311560133904,1.2227913722826351,1.3329210230731028,0.9659949257322976,0.7043757984746606,1.0481471861958278,1.167514517123043,0.9468311560133904,1.3329210230731028,0.1988919163736865,3.0,1.0,-0.3860898670597124,-0.1101296507904674,0.9651593591325188,0.1871408861736918,-0.7780184729588269,-1.145780136899411,-0.0239085119622813,0.0059116656225413,0.0796540205647615,0.0844192420570866,1.0,1.0,1.0,3.0,0.1153911800844491,0.0926615555475434,0.0752043503649113,0.101908289364728,4.0,-0.0380437275639373,-0.0380437275639373,-0.0380437275639373,0.0380437275639373,0.0380437275639373,0.0380437275639373,1.0,1.0,0.0,0.0,0.5571274040209896,0.5530794685990517,0.3359032149971954,2.4099991027498944,-0.1453584197580951,-0.6499470316978937,-0.3116918479389251,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,MRVL,0.9155231,0.1837279119344299,-0.254507446162725,0.0832916280945943,0.3446852905859847,1.2431694599840006,1.719867093798411,1.81533118102038,1.487089496692795,2.538938026945716,1.1025739481227987,0.3446852905859847,1.719867093798411,0.6982883154101035,3.0,1.0,-1.3751818032124263,-0.4766976338144104,1.510743204562926,0.0832916280945943,-1.4274515764683315,-1.6365754657038167,0.025828237881498,0.0400037733839084,0.0963571842253308,0.0633355039541883,1.0,1.0,0.0,2.0,0.0110338748425742,-0.0596771129272144,-0.2103479791182106,-0.2136884947106568,1.0,-0.2981867259052263,-0.2981867259052263,-0.2981867259052263,0.2981867259052263,0.2981867259052263,0.2981867259052263,0.0,0.0,1.0,1.0,1.1757344865756194,0.9598147836227914,0.0708422088878119,1.791873935622064,-0.4619925099215591,-0.5756700279502831,-0.4502946316501529,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,MU,0.8815727,0.1805887252675733,-0.1580890666762564,0.0008335629052373,0.879127288196693,1.876537395428652,1.3576343177224022,1.3433708528063133,3.1128653075808144,7.177627634675309,1.3710996671159157,0.879127288196693,1.876537395428652,0.4988413748155159,3.0,1.0,-0.4785070295257092,0.5189030777062498,1.3556707179949274,0.0008335629052373,-1.35483715508969,-1.3568007548171648,0.0648795297813984,0.0872693258736039,0.0916889923423869,0.0728489361343567,1.0,1.0,0.0,2.0,-0.020313950508954,-0.0588865964421839,-0.1384123935883225,-0.1080567594559829,0.0,-0.1992077931942347,-0.1992077931942347,-0.1992077931942347,0.1992077931942347,0.1992077931942347,0.1992077931942347,0.0,0.0,1.0,0.0,1.1085399076898306,0.948396652598476,0.0007519466818064,1.4315047548962463,-0.4907790078953254,-0.5409447491346907,-0.3305935720862518,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,PANW,0.8771526,0.1580327413537894,0.1268254102203554,0.3641591312549441,1.1429286934998513,1.39689353454528,1.5803786847870422,1.1713849034472257,1.0210907229004618,1.0169534977761754,1.373400304277391,1.1429286934998513,1.5803786847870422,0.219669234579187,3.0,1.0,-0.437449991287191,-0.1834851502417622,0.8915525510673006,0.3641591312549441,-0.5273934198123564,-1.216219553532098,-0.0076286852499212,0.0286700704708036,0.0949282339587813,0.1033416502144857,1.0,1.0,1.0,3.0,0.1275457085649551,0.0927152297189493,0.0842838711030256,0.1333655844143526,4.0,-0.0296212398644649,-0.0296212398644649,-0.0296212398644649,0.0296212398644649,0.0296212398644649,0.0296212398644649,1.0,1.0,0.0,0.0,0.5313603457755179,0.4998179945377934,0.6853336613281813,3.161908338751383,-0.1352706008711737,-0.7101387435078572,-0.313879902154186,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,NET,0.8688907,0.1319090484757783,0.2874266159118663,0.3058472798568594,0.5406156847278261,0.5303867615767206,0.8339043748300787,0.7805468729162741,0.5772438349227873,0.5130084261470904,0.6349689403782085,0.5303867615767206,0.8339043748300787,0.1723590381373242,3.0,1.0,-0.2932886901022526,-0.3035176132533581,0.4043789064147705,0.3058472798568594,-0.098531626557911,-0.5280570949732193,0.0020817194434328,0.0396562941060445,0.1006641674758253,0.1215889366741362,1.0,1.0,1.0,3.0,0.1541481735525141,0.1362352494693628,0.1498655435664861,0.1413435209606737,4.0,-0.0454916071813861,-0.0454916071813861,-0.0454916071813861,0.0454916071813861,0.0454916071813861,0.0454916071813861,1.0,1.0,0.0,0.0,0.5704672925748898,0.7093842957611559,0.5361346458205725,1.175532613018047,-0.1833261292414091,-0.4727938611789326,-0.0196735488055345,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,ARM,0.8611022,0.1658392072890779,-0.2118904682598086,-0.2090350825591643,0.3286420345670471,0.8471708401391689,1.192546168164191,1.6522399470634723,1.0613750920187393,1.0203890345889426,0.7894530142901356,0.3286420345670471,1.192546168164191,0.434834564607176,3.0,1.0,-0.8639041335971436,-0.3453753280250218,1.7719891487199797,-0.2090350825591643,-1.981024231279144,-1.4015812507233552,0.0222866252471569,0.0235185291684991,0.0479321084321886,0.0107901165223698,1.0,1.0,0.0,2.0,-0.0525659383033283,-0.0925471169625691,-0.2061088838949055,-0.2007272134119483,0.0,-0.3641286854892892,-0.3641286854892892,-0.3641286854892892,0.3641286854892892,0.3641286854892892,0.3641286854892892,0.0,0.0,1.0,1.0,1.0841609896662476,0.9500070375649916,-0.1928081572308874,1.2553024567279654,-0.7110053671222265,-0.8000440263009293,-0.5978776232973829,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,HPE,0.8573221,0.225678438710559,0.3014852203526739,0.3680707108104035,1.0466376999000784,1.4729848385310342,1.7601978457489689,1.7537846150487817,1.7260106275715523,1.655423591719889,1.4266067947266938,1.0466376999000784,1.7601978457489689,0.359033720764931,3.0,1.0,-0.7135601458488905,-0.2872130072179346,1.017584196443992,0.3680707108104035,-0.6495134856335885,-1.392127134938565,0.0250366447639709,0.0715849923566802,0.1558451549845236,0.1900997054002393,1.0,1.0,1.0,3.0,0.203985519803332,0.192365445021553,0.0981655408127037,0.0438352648010937,4.0,-0.0185556772988014,-0.0185556772988014,-0.0185556772988014,0.0185556772988014,0.0185556772988014,0.0185556772988014,1.0,1.0,0.0,0.0,0.762348333518922,0.6334781329889092,0.4828117208723035,2.7786244766554336,-0.319323492236511,-0.8636819652258324,-0.2800625504645292,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,SNOW,0.8156511,0.1215221453790915,0.2924165557081901,0.2871062786139611,1.4102001208001431,1.1808778507791269,0.9530907088373766,0.706902016797021,0.3091864601025247,0.3781949567612241,1.1813895601388822,0.9530907088373766,1.4102001208001431,0.2285551356042743,3.0,1.0,0.4571094119627668,0.2277871419417503,0.5174276913174494,0.2871062786139611,-0.2303214127034882,-0.6659844302234155,-0.0136739756758035,0.0098771287618166,0.0924580873819214,0.1352364868209759,1.0,1.0,1.0,3.0,0.2370079039651593,0.2236607583456213,0.191266585971169,0.1665962120218611,4.0,-0.0250755567391038,-0.0250755567391038,-0.0250755567391038,0.0250755567391038,0.0250755567391038,0.0250755567391038,1.0,1.0,0.0,0.0,0.864789952215313,0.7636710173674829,0.3319953913415476,1.2480383400208888,-0.650444935054381,-0.8702607052010336,-0.4716131277767541,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
2026-08-31,INTC,0.814717,0.1363636748104957,-0.2659170922036038,-0.106208582776103,0.0848856515464744,1.3226829258805115,1.2473141554121527,1.2057240651488217,1.5271202300179607,3.209445519269978,0.8849609109463796,0.0848856515464744,1.3226829258805115,0.6939095246632282,3.0,1.0,-1.1624285038656783,0.0753687704683589,1.5143608588145518,-0.106208582776103,-1.6205694415906549,-1.3535227381882555,0.0184007828179797,0.0274453327475479,0.058621839975733,0.0224167009785807,1.0,1.0,0.0,2.0,-0.0335132461257404,-0.0901031629612888,-0.1984536057650107,-0.1530949624654178,0.0,-0.2727401857211342,-0.2727401857211342,-0.2727401857211342,0.2727401857211342,0.2727401857211342,0.2727401857211342,0.0,0.0,1.0,1.0,0.8394377871143416,0.8606711467018738,-0.12652347131192,1.4492343099822858,-0.1277876365904099,-0.5038212901869352,-0.1115550825211791,0.0626172149323973,-0.0087179778323476,0.2066660413980858,0.2878522028750492,2.0
