strategy,months,total_return_1m_rebalanced,annualized_return_1m_rebalanced,avg_monthly_return_1m,monthly_win_rate_1m,max_drawdown_1m_rebalanced,avg_future_max_return_1_3m,avg_boom_hit_rate
baseline_core_mom_456_avg,17,3.157909634932448,1.7343428852702552,0.10601618068996968,0.7058823529411765,-0.2026208414085895,0.4299988014609677,0.35294117647058826
baseline_mom_5m,17,2.617677639528534,1.4784821042664809,0.09833577385281338,0.7058823529411765,-0.2026208414085895,0.3709339234758152,0.3333333333333333
baseline_mom_4m,17,2.5994295609483182,1.4696507333506141,0.09535432791665811,0.6470588235294118,-0.16639024828526394,0.36664764576941883,0.3333333333333333
baseline_mom_6m,17,2.343479324547732,1.3443506507710126,0.0906917850289355,0.7058823529411765,-0.20527640122444923,0.3981252984454742,0.3137254901960784
baseline_mom_6m_acceleration,17,2.3032027655921063,1.324380501552802,0.08006673581909685,0.7647058823529411,-0.14569501647621386,0.3722120929943318,0.29411764705882354
baseline_mom_3m,17,1.3124603418836824,0.8071475733252582,0.06505077697173732,0.7058823529411765,-0.2965153543587712,0.38830737898557466,0.3137254901960784
xgb_boom_probability,17,0.8549095156724089,0.5466935676541744,0.054733596415074304,0.6470588235294118,-0.2642354768928542,0.34245062653149716,0.23529411764705882
