dataset,rows,months,positive_rate,auc,pr_auc,accuracy_at_0_5,precision_at_0_5,recall_at_0_5,precision_at_top3_monthly,precision_at_top5_monthly,precision_at_top10_monthly,top3_future_return_1m,top3_future_return_2m,top3_future_return_3m,top3_future_max_return_1_3m,top_decile_future_max_return,bottom_decile_future_max_return,top_minus_bottom_spread
train,3253,84,0.10390408853366123,0.9841911354248074,0.8850536425163337,0.914847832769751,0.5521367521367522,0.9556213017751479,0.8849206349206349,0.7,0.39642857142857146,0.13143640021339756,0.25155547125967637,0.35555906120403913,0.41166772534954876,0.3953856741284081,0.07234881673011462,0.32303685739829346
valid,1247,24,0.10505212510024058,0.6884182877780515,0.21840653798121454,0.6928628708901363,0.17357512953367876,0.5114503816793893,0.2638888888888889,0.26666666666666666,0.21666666666666667,0.05610510336746499,0.10238497183377286,0.1753148509483299,0.32890726711115353,0.3113375189988031,0.10264078240338048,0.2086967365954226
test,970,18,0.11030927835051546,0.663064077711959,0.18337107146796816,0.6237113402061856,0.17091836734693877,0.6261682242990654,0.2222222222222222,0.20000000000000004,0.21666666666666667,0.041139006773696835,0.11403968483464808,0.14698822223716532,0.3206544165736379,0.30954611185687303,0.08730730473533406,0.22223880712153898
